Name,Age,Gender,Marital Status,Employment Type,Industry,Years with Current Employer,Education Level,CIBIL Score,Loan Type,Loan Purpose,Loan Amount Requested,Loan Tenure,Existing Loans,Loan Repayment History,DTI Ratio,Credit Utilization Ratio,Credit Card Payment Behavior,Monthly Income,Income Stability,Total Savings & Deposits,Bank Account Activity,Large Transactions Before Loan,Number of Credit Cards,Total Credit Limit,Utility & Rent Payments History,Fraud
Edward Bell,29,Female,Single,Salaried,Finance,0,PhD,873,Business Loan,Equipment Purchase,361399,24,4,Good,0.68,0.26,Late Payments,62610,Unstable,453180,Low,1,3,367965,Missed Payments,0
Benjamin Hickman,52,Male,Divorced,Unemployed,Healthcare,13,PhD,327,Home Loan,Home Renovation,356338,60,1,Average,0.76,0.71,Missed Payments,188266,Unstable,465473,Low,1,4,131102,Late Payments,0
Christie Vasquez,65,Female,Single,Salaried,Finance,8,Bachelors,567,Car Loan,Car Repair,389499,60,1,Average,0.11,0.9,Late Payments,55253,Stable,106492,Moderate,1,3,335446,On-Time,0
Amber Jenkins,33,Male,Divorced,Self-Employed,Healthcare,12,Bachelors,346,Personal Loan,Debt Consolidation,236534,48,3,Poor,0.63,0.74,Missed Payments,188310,Unstable,50769,Moderate,1,4,173461,Late Payments,1
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Chad Chavez,33,Male,Divorced,Unemployed,IT,6,PhD,602,Home Loan,Buying a House,452348,60,4,Good,0.89,0.54,Late Payments,49105,Unstable,147268,High,1,4,267904,On-Time,0
Alyssa Wood,46,Male,Divorced,Salaried,Healthcare,7,Masters,431,Business Loan,Business Expansion,65327,96,1,Poor,0.21,0.45,Late Payments,73365,Stable,335499,Low,0,4,258855,Late Payments,0
Christopher Armstrong,55,Male,Single,Unemployed,Finance,18,High School,722,Car Loan,Vehicle Purchase,171871,24,0,Average,0.69,0.64,Missed Payments,190285,Stable,304082,Low,0,3,402110,Missed Payments,0
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Tracy Williams,49,Female,Married,Self-Employed,Manufacturing,17,PhD,490,Business Loan,Equipment Purchase,305400,96,4,Average,0.56,0.96,Late Payments,137757,Stable,311368,Low,1,3,421413,Missed Payments,0
Cheyenne Green,33,Male,Divorced,Self-Employed,Education,5,High School,894,Business Loan,Working Capital,460183,12,4,Good,0.54,0.4,Missed Payments,121143,Stable,198240,High,1,4,173429,On-Time,0
Bridget Jones,65,Female,Divorced,Self-Employed,Healthcare,2,Bachelors,718,Personal Loan,Medical Emergency,239679,60,1,Poor,0.22,0.2,Missed Payments,40598,Unstable,485148,Low,1,4,305302,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Jacqueline Griffith,53,Male,Married,Unemployed,Manufacturing,5,Masters,689,Car Loan,Vehicle Purchase,244415,96,0,Poor,0.62,0.95,Late Payments,179361,Unstable,301704,Low,1,4,112535,Missed Payments,0
Shawn Cohen,58,Male,Single,Unemployed,Finance,16,Masters,648,Home Loan,Property Investment,93917,96,4,Average,0.5,0.88,Missed Payments,107545,Unstable,400502,High,0,3,411653,On-Time,0
Megan Carter,36,Male,Single,Unemployed,Finance,13,Bachelors,394,Car Loan,Car Repair,182005,84,4,Good,0.37,0.11,Late Payments,193111,Unstable,462496,High,1,1,468191,On-Time,0
Alexa Malone,57,Female,Single,Salaried,Manufacturing,2,Masters,345,Personal Loan,Wedding,120572,24,2,Good,0.88,0.26,Late Payments,109855,Unstable,462859,High,1,2,484364,Missed Payments,0
Jason Powell,41,Male,Single,Self-Employed,Finance,12,High School,585,Business Loan,Equipment Purchase,287680,36,2,Poor,0.4,0.19,On-Time,99951,Stable,231164,Low,1,3,433757,Late Payments,0
Scott Horton,57,Female,Single,Unemployed,Education,10,High School,324,Business Loan,Business Expansion,83069,12,2,Good,0.1,0.45,Late Payments,128069,Unstable,14956,Low,1,4,226542,Late Payments,0
Danny Perry,44,Female,Married,Unemployed,Healthcare,15,Masters,489,Personal Loan,Debt Consolidation,161471,48,1,Good,0.38,0.84,On-Time,48888,Unstable,290112,Low,0,3,406247,Missed Payments,0
Ashley Oneill,29,Female,Divorced,Self-Employed,Education,7,PhD,786,Business Loan,Equipment Purchase,208995,72,1,Good,0.4,0.62,Missed Payments,23420,Unstable,62882,High,0,2,372529,Missed Payments,0
Anthony Arnold,23,Female,Single,Unemployed,Healthcare,17,PhD,763,Personal Loan,Medical Emergency,27452,84,0,Poor,0.39,0.95,On-Time,166306,Unstable,102541,Moderate,1,1,283619,On-Time,0
Mr. Joseph Mcdaniel,59,Male,Divorced,Salaried,IT,19,High School,426,Home Loan,Home Renovation,334182,72,0,Average,0.29,0.43,On-Time,194408,Unstable,172541,Low,0,2,253251,Missed Payments,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Stacy Cain,68,Female,Single,Salaried,Healthcare,19,Masters,391,Business Loan,Business Expansion,74487,48,4,Average,0.55,0.14,On-Time,28725,Unstable,493209,High,1,4,263147,Late Payments,0
Rebecca Lee,60,Male,Divorced,Salaried,Manufacturing,15,PhD,777,Home Loan,Property Investment,384725,72,2,Good,0.72,0.84,Missed Payments,191152,Stable,357615,High,0,3,249558,On-Time,0
Michael Alexander,46,Female,Single,Salaried,Education,14,Masters,889,Car Loan,Car Repair,237071,72,4,Average,0.32,0.25,On-Time,151821,Stable,90535,High,0,4,228854,Missed Payments,0
Kaitlyn Wade,33,Female,Single,Salaried,Education,8,High School,685,Business Loan,Business Expansion,360066,84,0,Poor,0.49,0.11,Missed Payments,139803,Stable,184619,High,0,2,374404,On-Time,0
Jamie Gutierrez,60,Male,Single,Self-Employed,Education,15,Masters,788,Personal Loan,Wedding,183830,12,4,Good,0.12,0.59,Missed Payments,35228,Stable,341261,Low,1,3,289648,Late Payments,0
Amy Thomas,64,Female,Divorced,Unemployed,IT,3,PhD,728,Personal Loan,Medical Emergency,482485,12,3,Poor,0.8,0.92,Missed Payments,91496,Unstable,301340,Low,1,3,465366,On-Time,0
Amanda Bennett,55,Female,Married,Self-Employed,Manufacturing,8,PhD,844,Personal Loan,Debt Consolidation,475091,84,2,Good,0.68,0.36,On-Time,59945,Stable,283939,Low,0,4,301895,On-Time,0
Wyatt Williams,45,Female,Single,Salaried,Education,3,Bachelors,750,Car Loan,Vehicle Purchase,65488,96,0,Poor,0.44,0.58,Late Payments,159448,Unstable,27335,High,1,4,258166,Missed Payments,0
Samantha Townsend,47,Female,Married,Self-Employed,Healthcare,10,Bachelors,767,Car Loan,Vehicle Purchase,29872,72,1,Average,0.87,0.57,Missed Payments,55100,Stable,302779,Low,1,3,443798,Late Payments,0
Sarah Smith,47,Male,Single,Unemployed,IT,2,PhD,820,Personal Loan,Vacation,161439,96,4,Poor,0.12,0.33,Missed Payments,35161,Stable,400354,High,0,1,360331,Missed Payments,0
Dustin Gardner,23,Male,Single,Unemployed,IT,3,Masters,406,Car Loan,Vehicle Purchase,327113,24,1,Average,0.7,0.89,Missed Payments,90383,Unstable,293758,High,0,4,79976,Missed Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Jeffrey Browning,24,Female,Divorced,Self-Employed,Manufacturing,15,Bachelors,679,Business Loan,Business Expansion,151061,36,3,Good,0.34,0.16,Missed Payments,196084,Stable,289381,Low,0,4,267402,Late Payments,0
Cynthia Miller,64,Female,Divorced,Unemployed,Finance,3,PhD,562,Car Loan,Car Repair,461898,12,0,Poor,0.31,0.63,Late Payments,115157,Unstable,418078,Low,1,2,239193,Missed Payments,0
Lindsey Patterson,28,Female,Divorced,Salaried,Manufacturing,13,PhD,494,Personal Loan,Medical Emergency,423878,84,1,Poor,0.29,0.56,On-Time,133168,Unstable,255961,Moderate,1,1,473791,Missed Payments,0
Robert Hess,27,Female,Divorced,Unemployed,Manufacturing,6,PhD,361,Personal Loan,Medical Emergency,239562,60,2,Poor,0.49,0.7,Missed Payments,105269,Stable,364332,Low,0,4,100760,Missed Payments,0
Stephanie Lynch,59,Female,Divorced,Self-Employed,IT,0,PhD,436,Personal Loan,Medical Emergency,97281,24,0,Poor,0.82,0.15,On-Time,42728,Unstable,385389,Moderate,1,4,460487,On-Time,0
Kimberly Hickman,45,Male,Single,Unemployed,Finance,10,Bachelors,861,Business Loan,Equipment Purchase,468171,36,0,Poor,0.15,0.12,Late Payments,149908,Unstable,371947,Low,1,1,193903,Missed Payments,0
Jennifer Acosta,36,Female,Single,Self-Employed,Manufacturing,9,PhD,449,Home Loan,Buying a House,243031,72,3,Good,0.8,0.22,Late Payments,186740,Unstable,322885,High,0,4,395237,On-Time,0
Lisa Hall,26,Female,Married,Unemployed,IT,18,Bachelors,812,Personal Loan,Debt Consolidation,212459,12,3,Poor,0.15,0.37,Late Payments,116943,Unstable,355420,Low,1,3,378567,Late Payments,0
Julie Hall,47,Female,Divorced,Unemployed,Healthcare,1,PhD,808,Car Loan,Vehicle Purchase,180764,24,4,Good,0.38,0.53,Late Payments,68873,Stable,31877,Low,1,1,241046,On-Time,0
Cody Graham,62,Female,Single,Self-Employed,Education,13,Masters,502,Business Loan,Working Capital,19357,36,4,Poor,0.18,0.46,Missed Payments,112887,Stable,399197,High,1,3,174541,Late Payments,0
Christine Glover DVM,60,Female,Single,Self-Employed,Education,6,Masters,762,Business Loan,Equipment Purchase,169077,72,4,Average,0.67,0.15,Late Payments,192006,Unstable,397908,High,1,4,87993,On-Time,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Dawn Williams,60,Male,Married,Salaried,Finance,9,Bachelors,643,Home Loan,Buying a House,314655,36,4,Poor,0.23,0.92,Missed Payments,175012,Stable,196641,High,0,1,305763,Missed Payments,0
Shawn Bennett,39,Male,Married,Self-Employed,IT,7,Masters,414,Personal Loan,Wedding,221802,60,0,Poor,0.7,0.57,On-Time,180740,Unstable,323978,Low,1,2,282348,On-Time,0
Tara Rios,51,Male,Divorced,Unemployed,IT,8,High School,836,Car Loan,Car Repair,183670,48,2,Average,0.64,0.3,Missed Payments,133927,Unstable,250237,Low,0,1,389852,Late Payments,0
Ashley Washington,42,Female,Married,Unemployed,Finance,19,Masters,523,Business Loan,Working Capital,196678,72,1,Poor,0.68,0.98,On-Time,48587,Unstable,321684,Low,1,4,330525,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Natalie Henry,39,Female,Divorced,Self-Employed,Finance,2,Bachelors,338,Business Loan,Business Expansion,454831,72,4,Good,0.66,0.56,On-Time,51238,Unstable,433029,High,0,2,129076,Late Payments,0
James Walker,60,Female,Divorced,Salaried,Education,15,PhD,359,Home Loan,Buying a House,447680,24,0,Good,0.71,0.4,On-Time,67155,Unstable,142418,Low,0,3,440408,Late Payments,0
Steven Jennings,45,Female,Married,Self-Employed,Manufacturing,12,Masters,872,Business Loan,Equipment Purchase,231941,60,3,Good,0.83,0.92,Missed Payments,109169,Stable,275590,Low,0,1,426592,Missed Payments,0
Thomas Russell,44,Female,Married,Salaried,Education,12,High School,349,Business Loan,Business Expansion,402114,60,3,Good,0.18,0.71,Missed Payments,55324,Stable,136407,High,1,3,397797,Missed Payments,0
Vanessa Hensley,24,Male,Divorced,Self-Employed,Healthcare,17,PhD,613,Business Loan,Equipment Purchase,275281,48,4,Good,0.64,0.97,Late Payments,102842,Stable,23834,High,1,4,332855,Missed Payments,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Anthony White,41,Male,Married,Unemployed,IT,0,Masters,371,Business Loan,Equipment Purchase,172990,48,4,Average,0.39,0.2,Late Payments,22950,Unstable,101089,Moderate,1,2,341768,On-Time,0
Nathan Solomon,34,Female,Married,Salaried,Healthcare,6,Bachelors,846,Business Loan,Equipment Purchase,7545,96,2,Good,0.82,0.35,On-Time,132728,Stable,471105,Low,1,4,321617,Missed Payments,0
Julie Newman,51,Male,Divorced,Unemployed,Manufacturing,3,High School,866,Car Loan,Car Repair,487609,12,4,Poor,0.48,0.47,Missed Payments,34849,Unstable,462191,Moderate,0,3,434857,On-Time,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Scott Jones,47,Male,Married,Unemployed,Education,10,Masters,676,Personal Loan,Wedding,399883,72,1,Average,0.12,0.84,Missed Payments,192417,Stable,121256,Moderate,1,2,449177,Missed Payments,0
Holly Ross,43,Male,Divorced,Salaried,Manufacturing,11,PhD,875,Home Loan,Home Renovation,17148,36,0,Good,0.56,0.98,On-Time,146599,Stable,485113,Low,1,4,491512,On-Time,0
Joann Daniels,68,Female,Single,Unemployed,IT,15,PhD,838,Car Loan,Vehicle Purchase,303176,24,0,Good,0.22,0.55,Missed Payments,23992,Stable,329576,Moderate,1,1,107966,On-Time,0
Karen Moses,38,Female,Married,Salaried,Finance,13,High School,372,Car Loan,Car Repair,379024,24,4,Average,0.37,0.99,On-Time,177498,Unstable,202859,High,1,1,132733,On-Time,0
Frank Oliver,60,Female,Married,Salaried,Finance,4,Bachelors,458,Personal Loan,Wedding,216086,72,0,Poor,0.23,0.5,On-Time,182185,Unstable,397552,High,0,1,456065,Late Payments,0
Beverly Boyer,24,Female,Single,Unemployed,IT,5,Bachelors,889,Business Loan,Working Capital,67505,96,2,Poor,0.43,0.66,On-Time,179140,Stable,24445,Moderate,1,3,58412,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Wanda Oconnor,34,Female,Divorced,Unemployed,Finance,0,PhD,858,Business Loan,Working Capital,209110,36,4,Average,0.14,0.33,Missed Payments,142955,Unstable,391735,High,1,2,297852,On-Time,0
Robert White,60,Male,Married,Self-Employed,Education,2,PhD,882,Home Loan,Buying a House,69282,24,2,Poor,0.65,0.87,Missed Payments,145906,Stable,291119,Low,1,4,290805,Late Payments,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Denise Watson,39,Female,Married,Salaried,Education,0,PhD,455,Car Loan,Vehicle Purchase,60383,24,2,Good,0.18,0.87,On-Time,49009,Unstable,373138,High,0,1,338955,Late Payments,0
Brian Owens,54,Male,Married,Salaried,Finance,11,PhD,779,Business Loan,Business Expansion,127386,24,4,Good,0.6,0.99,Late Payments,72227,Stable,173481,Low,1,3,196446,On-Time,0
Danny Robertson,66,Female,Divorced,Self-Employed,Healthcare,5,Bachelors,384,Business Loan,Equipment Purchase,179070,36,1,Good,0.78,0.56,On-Time,183017,Stable,48977,High,1,4,144169,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Mark Rodriguez,28,Male,Single,Salaried,Education,2,Masters,536,Business Loan,Working Capital,259512,24,2,Good,0.85,0.16,Late Payments,77857,Stable,168570,Moderate,1,1,193399,Late Payments,0
Steven Harris,39,Female,Divorced,Self-Employed,Education,14,High School,372,Personal Loan,Wedding,462428,96,2,Poor,0.52,0.62,Late Payments,89280,Stable,27811,Low,1,4,417187,Missed Payments,0
Crystal Richardson,64,Male,Married,Salaried,Finance,8,Masters,411,Home Loan,Home Renovation,457780,36,2,Poor,0.45,0.63,Late Payments,103564,Unstable,36152,High,0,3,130305,On-Time,0
Hayden Ewing,56,Female,Single,Unemployed,Finance,0,High School,467,Personal Loan,Debt Consolidation,216371,60,0,Good,0.63,0.79,Late Payments,27176,Unstable,312550,Low,1,3,405419,Missed Payments,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Alexandra Davis,29,Female,Single,Salaried,IT,9,High School,832,Car Loan,Vehicle Purchase,193419,60,4,Good,0.3,0.62,On-Time,51058,Unstable,161537,High,1,1,73546,On-Time,0
Brandon Moses,31,Male,Divorced,Unemployed,Education,3,Bachelors,573,Car Loan,Car Repair,128190,96,1,Good,0.9,0.18,Missed Payments,37805,Stable,219403,Low,0,2,81601,On-Time,0
Samantha Townsend,47,Female,Married,Self-Employed,Healthcare,10,Bachelors,767,Car Loan,Vehicle Purchase,29872,72,1,Average,0.87,0.57,Missed Payments,55100,Stable,302779,Low,1,3,443798,Late Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Deborah Wu,69,Male,Single,Salaried,Healthcare,13,Bachelors,602,Personal Loan,Vacation,12754,48,4,Good,0.39,0.1,Late Payments,96680,Unstable,42379,Low,0,2,378149,On-Time,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Mrs. Crystal Roberts PhD,37,Male,Single,Salaried,Finance,6,Masters,782,Car Loan,Car Repair,321791,24,3,Good,0.42,0.16,On-Time,174717,Unstable,297301,High,0,1,107687,Late Payments,0
Daniel Glass,48,Female,Divorced,Salaried,Healthcare,12,Masters,461,Home Loan,Property Investment,240226,60,4,Average,0.3,0.64,On-Time,113110,Stable,76551,Low,1,2,356455,On-Time,0
Karen Santana,63,Female,Divorced,Unemployed,Healthcare,18,Masters,408,Car Loan,Car Repair,102278,96,0,Average,0.66,0.64,Late Payments,23388,Stable,326110,Moderate,0,4,194235,Missed Payments,0
Veronica Sweeney,67,Female,Single,Self-Employed,Finance,1,Masters,739,Personal Loan,Wedding,405752,24,0,Poor,0.24,0.49,Late Payments,196597,Stable,436839,Low,0,1,379148,Missed Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Colleen Thompson,55,Female,Divorced,Self-Employed,Education,3,PhD,851,Business Loan,Equipment Purchase,105152,12,4,Average,0.59,0.77,On-Time,120577,Unstable,57955,High,0,4,426444,Missed Payments,0
Shannon Edwards,64,Male,Divorced,Unemployed,Manufacturing,17,High School,866,Business Loan,Equipment Purchase,402994,36,4,Good,0.89,0.71,Missed Payments,103959,Unstable,322454,High,0,3,227311,On-Time,0
Taylor Harrison,45,Female,Single,Self-Employed,IT,3,High School,761,Car Loan,Vehicle Purchase,225641,72,2,Good,0.24,0.82,Missed Payments,180572,Unstable,417813,Moderate,1,1,187045,Late Payments,0
Jessica Martin,25,Male,Single,Unemployed,IT,15,Masters,720,Home Loan,Buying a House,264026,12,1,Average,0.15,0.26,Missed Payments,45821,Unstable,415589,Low,1,1,409309,Missed Payments,0
Corey Day,18,Female,Single,Self-Employed,Education,7,High School,481,Car Loan,Car Repair,329133,48,0,Poor,0.41,0.26,Late Payments,131374,Unstable,323287,Low,1,3,193940,Late Payments,0
Ronald Russo,18,Male,Married,Salaried,Education,10,Bachelors,353,Car Loan,Car Repair,361541,84,3,Average,0.58,0.58,On-Time,63304,Unstable,260641,Low,1,3,439773,Late Payments,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Ricky Johnson,37,Female,Divorced,Self-Employed,Education,17,High School,627,Business Loan,Working Capital,132874,96,1,Average,0.55,0.98,Missed Payments,79458,Stable,89092,High,0,3,65539,Missed Payments,0
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
William Hale,57,Female,Single,Unemployed,Healthcare,16,Bachelors,535,Personal Loan,Debt Consolidation,144121,72,0,Good,0.29,0.73,On-Time,89495,Unstable,409263,High,1,2,57031,Missed Payments,0
Chad Chavez,33,Male,Divorced,Unemployed,IT,6,PhD,602,Home Loan,Buying a House,452348,60,4,Good,0.89,0.54,Late Payments,49105,Unstable,147268,High,1,4,267904,On-Time,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Mr. Raymond Simmons,34,Male,Divorced,Self-Employed,Education,5,Masters,508,Car Loan,Vehicle Purchase,53049,36,4,Good,0.39,0.65,On-Time,45548,Unstable,400995,Moderate,0,3,175100,On-Time,0
Christine Miller,19,Female,Single,Self-Employed,Finance,17,PhD,471,Business Loan,Business Expansion,425671,36,2,Poor,0.62,0.33,On-Time,41479,Unstable,191134,High,1,4,106847,On-Time,0
Luis Miller,57,Male,Married,Self-Employed,Healthcare,0,High School,713,Personal Loan,Vacation,157627,84,1,Poor,0.41,0.99,On-Time,31825,Unstable,400685,Moderate,0,2,158258,On-Time,0
Rachael Sampson,22,Male,Married,Unemployed,Healthcare,18,Bachelors,538,Business Loan,Business Expansion,201611,72,1,Average,0.53,0.61,Late Payments,111025,Unstable,10687,High,1,2,141477,On-Time,0
Taylor York,68,Female,Single,Unemployed,Manufacturing,17,Masters,581,Business Loan,Equipment Purchase,336953,72,4,Good,0.27,0.3,Missed Payments,193491,Stable,382456,Low,1,1,101626,On-Time,0
Annette Gordon,35,Male,Single,Self-Employed,Healthcare,0,Bachelors,304,Business Loan,Equipment Purchase,485310,60,1,Good,0.74,0.71,Missed Payments,101573,Stable,279953,Low,1,4,54925,Late Payments,0
Michael Norris,24,Female,Single,Salaried,Manufacturing,4,Masters,783,Car Loan,Vehicle Purchase,10650,60,2,Good,0.43,0.17,Late Payments,132640,Unstable,397283,High,1,3,414886,Missed Payments,0
Jennifer Phillips,68,Male,Divorced,Salaried,Finance,16,PhD,331,Car Loan,Car Repair,20150,12,4,Average,0.65,0.21,On-Time,34849,Stable,244898,High,1,4,257463,Late Payments,0
Ashley Wagner,18,Female,Divorced,Self-Employed,Education,1,Masters,552,Personal Loan,Vacation,43800,84,0,Average,0.64,0.69,On-Time,158453,Stable,86171,Low,0,4,76358,On-Time,0
Nicole Thompson,51,Female,Married,Salaried,Healthcare,1,Bachelors,554,Home Loan,Home Renovation,271232,72,0,Average,0.34,0.96,Late Payments,146803,Unstable,336095,High,1,1,380665,Missed Payments,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Veronica Graves,37,Female,Married,Unemployed,Healthcare,11,Bachelors,629,Home Loan,Property Investment,496644,36,4,Average,0.88,0.59,Late Payments,199450,Unstable,53550,Moderate,1,3,220078,Late Payments,0
Wesley Spencer,58,Female,Divorced,Self-Employed,Healthcare,9,PhD,666,Car Loan,Car Repair,134032,24,4,Poor,0.78,0.76,On-Time,155540,Unstable,289079,High,1,3,84849,On-Time,0
Ethan Allen,68,Female,Divorced,Unemployed,IT,0,High School,408,Car Loan,Car Repair,251376,60,0,Good,0.3,0.69,Late Payments,191451,Unstable,221786,High,0,4,491186,Late Payments,0
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Brett Beard,50,Female,Married,Unemployed,Education,7,Bachelors,588,Home Loan,Buying a House,312556,12,4,Poor,0.38,0.96,On-Time,142373,Unstable,93655,High,1,3,439293,Missed Payments,0
